"Inkluderar transaktioner på Amazons marknadsplats, Fraktas från Amazon (FBA) och Amazons webbutik"
"Alla belopp i kr, om inte annat anges"
"Definitioner:"
"Inkasserad moms: Inkluderar moms som kasserats in från köpare för produktförsäljning, frakt och presentinslagning."
"Försäljningsavgifter: Inkluderar rörliga avstängningsavgifter och hänvisningsavgifter."
"Övriga transaktionsavgifter: Inkluderar återdebitering av frakt, stoppad frakt, fraktstopp, avgifter per artikel och inkassering av moms."
"Övrigt: Inkluderar belopp för annat än beställningar. Mer information finns i kolumnerna ”Typ” och ”Beskrivning” för varje beställnings-ID."
"datum/tid","reglerings-id","typ","beställnings-id","sku","beskrivning","antal","marknadsplats","leverans","stad för beställning","delstat för beställning","postadress för beställning","försäljning av produkter","fraktkrediter","krediter för presentinslagning","kampanjrabatter","Inkasserad moms","Skatt för marknadsplatsförmedlare","försäljningsavgifter","fba-avgifter","övriga transaktionsavgifter","Övrigt","totalt"
"1 sep. 2025 22:17:26 UTC","25397152262","Order","408-1554352-9641146","VAL71170","Vallejo Model Air Basic Box Set (72 färger + 3 borstar + bärväska) - VAL71170","1","amazon.se","Säljare","ALNÖ","","","2 222,36","183,00","0","0","0","0","−436,56","0","0","0","1 968,80"
"1 sep. 2025 23:37:33 UTC","25397152262","Order","403-9718152-3735566","CAR20062548","Carrera GO!!! Max Performance, Formel 1-racerbaneset, Max Verstappen vs Louis Hamilton, 2 slotbilar inklusive 2 handkontroller med turboknapp, inklusi","1","amazon.se","Säljare","ORRVIKEN","","","607,09","183,00","0","0","0","0","−143,39","0","0","0","646,70"
"2 sep. 2025 22:05:58 UTC","25397152262","Order","405-0414241-7525133","REV05688","Revell 05688 IRON MAIDEN -utgåva, Spitfire Mk.II Aces High för gör-det-själv, flygplansmodellbyggsats 1:32, 28,6 cm modelltillverkning, olackerad,","1","amazon.se","Säljare","HÄGERSTEN","","","299,00","183,00","0","0","0","0","−87,49","0","0","0","394,51"
"2 sep. 2025 22:14:57 UTC","25397152262","Order","408-4146185-8752347","CAR20062574","Carrera GO!!! 20062574 Max Competition Racerbane-set, med licensierade slotbilar, upp till 2 spelare, för barn från 6 år och vuxna","1","amazon.se","Säljare","Hemse","Gotland","","647,19","183,00","0","0","0","0","−150,69","0","0","0","679,50"
"4 sep. 2025 23:38:11 UTC","25397152262","Order","171-4406378-9229914","ZVZ3711","Zvezda - 1/35 WC-54 Ambulance - plastmodellbygge - skala: 1:35","1","amazon.se","Säljare","LUDVIKA","","","295,55","183,00","0","0","0","0","−86,85","0","0","0","391,70"
"5 sep. 2025 23:39:21 UTC","25397152262","Order","402-1725504-4702747","REV00960","U-båt Das Boot - Brick System","1","amazon.se","Säljare","KÅLLERED","","","2 659,34","183,00","0","0","0","0","−515,88","0","0","0","2 326,46"
"9 sep. 2025 02:07:19 UTC","25486033962","Överföring","","","Till bankkontot som slutar på: 796","","","","","","","0","0","0","0","0","0","0","0","0","−12 018,85","−12 018,85"
"9 sep. 2025 22:04:06 UTC","25486033962","Order","406-1949208-1684308","CAR20064205","Carrera F1 Red Bull Racing 2022","1","amazon.se","Säljare","KAREBY","","","120,84","183,00","0","0","0","0","−55,15","0","0","0","248,69"
"10 sep. 2025 22:24:51 UTC","25486033962","Order","171-4146470-0246752","TAM87038","Tamiya Extra tunt cementmodelleringslim, 40 ml","1","amazon.se","Säljare","HÄSSLEHOLM","","","85,00","183,00","0","0","0","0","−48,65","0","0","0","219,35"
"12 sep. 2025 22:03:47 UTC","25486033962","Order","403-5532462-6625961","CAR20062548","Carrera GO!!! Max Performance, Formel 1-racerbaneset, Max Verstappen vs Louis Hamilton, 2 slotbilar inklusive 2 handkontroller med turboknapp, inklusi","1","amazon.se","Säljare","HÄSSELBY","","","607,09","183,00","0","0","0","0","−143,39","0","0","0","646,70"
"12 sep. 2025 22:06:19 UTC","25486033962","Order","404-3691589-6761148","TAM87038","Tamiya Extra tunt cementmodelleringslim, 40 ml","1","amazon.se","Säljare","STAFFANSTORP","","","85,00","183,00","0","0","0","0","−48,64","0","0","0","219,36"
"12 sep. 2025 22:07:02 UTC","25486033962","Order","405-8239592-1341108","TAM87038","Tamiya Extra tunt cementmodelleringslim, 40 ml","1","amazon.se","Säljare","PITEÅ","","","85,00","183,00","0","0","0","0","−48,64","0","0","0","219,36"
"12 sep. 2025 22:07:14 UTC","25486033962","Order","404-9452839-2701162","TAM87038","Tamiya Extra tunt cementmodelleringslim, 40 ml","1","amazon.se","Säljare","LJUNGBYHED","","","85,00","183,00","0","0","0","0","−48,64","0","0","0","219,36"
"12 sep. 2025 22:30:16 UTC","25486033962","Order","407-9681994-9289932","CAR20062548","Carrera GO!!! Max Performance, Formel 1-racerbaneset, Max Verstappen vs Louis Hamilton, 2 slotbilar inklusive 2 handkontroller med turboknapp, inklusi","1","amazon.se","Säljare","Linköping","Östergötland","","607,09","183,00","0","0","0","0","−143,40","0","0","0","646,69"
"19 sep. 2025 14:34:44 UTC","25486033962","Order","406-4666740-0817941","CAR20062548","Carrera GO!!! Max Performance, Formel 1-racerbaneset, Max Verstappen vs Louis Hamilton, 2 slotbilar inklusive 2 handkontroller med turboknapp, inklusi","1","amazon.se","Säljare","ÖSTERSUND","","","607,09","183,00","0","0","0","0","−143,40","0","0","0","646,69"
"19 sep. 2025 15:14:01 UTC","25486033962","Order","171-5622203-5152363","REV01055","Revell adventskalender 007 James Bond Aston Martin DB5 (lättklicka) I 007 James Bond adventskalender I Aston Martin DB5 I Assemble in 24 dagar I inge","1","amazon.se","Säljare","ARBOGA","","","390,00","183,00","0","0","0","0","−103,99","0","0","0","469,01"
"19 sep. 2025 22:03:14 UTC","25486033962","Order","171-3887678-1982732","TAM87038","Tamiya Extra tunt cementmodelleringslim, 40 ml","1","amazon.se","Säljare","GÄVLE","","","274,00","0","0","0","0","0","−49,74","0","0","0","224,26"
"20 sep. 2025 22:12:56 UTC","25486033962","Order","405-4234735-5747556","REV39075-XS","Revell 39075 6 modellbygge färgset militär, tjärsvart matt, ljusoliv matt, bronsgrön matt, läderbrun matt, silver metallic, järn metallic, 1 sty","1","amazon.se","Säljare","MALMÖ","","","226,00","0","0","0","0","0","−41,02","0","0","0","184,98"
"22 sep. 2025 22:18:47 UTC","25566083772","Order","405-2344977-4009100","CAR20062573","Carrera GO!!! 20062573 Racing for Glory Racerbane-set, med licensierade slotbilar, upp till 2 spelare, för barn från 6 år och vuxna","1","amazon.se","Säljare","Karlskrona","","","589,62","0","0","0","147,41","0","−133,77","0","0","0","603,26"
"23 sep. 2025 22:26:07 UTC","25566083772","Order","408-8144226-1060325","CAR20062573","Carrera GO!!! 20062573 Racing for Glory Racerbane-set, med licensierade slotbilar, upp till 2 spelare, för barn från 6 år och vuxna","1","amazon.se","Säljare","Uppsala","","","589,62","0","0","0","147,41","0","−133,77","0","0","0","603,26"
"24 sep. 2025 03:54:52 UTC","25566083772","Överföring","","","Till bankkontot som slutar på: 796","","","","","","","0","0","0","0","0","0","0","0","0","−3 944,45","−3 944,45"
"26 sep. 2025 22:04:58 UTC","25566083772","Order","402-7708566-4884313","REV01207","Revell 1207 01207 Wars Death II + Imperial Star Science Fiction byggsats stjärna modellbyggnad, flerfärgad","1","amazon.se","Säljare","KLÅGERUP","","","303,67","0","0","0","75,92","0","−68,90","0","0","0","310,69"
"26 sep. 2025 22:11:46 UTC","25566083772","Order","405-4695941-8874753","REV14516","Revell Monogram 14516-37 Ford pickup med surfbräda 2N1-1:25 skala - obyggd/omålad plastmodellsats","1","amazon.se","Säljare","GÄVLE","","","424,98","0","0","0","106,24","0","−96,41","0","0","0","434,81"
"26 sep. 2025 22:16:39 UTC","25566083772","Order","406-0204385-3151561","AF18002V","Airfix vintage klassisk set - A18002V Junkers Ju87B Stuka - slaget om Storbritannien - plastmodell flygplanskit för vuxna och barn 8+, setet innehål","1","amazon.se","Säljare","NORRKÖPING","","","990,62","0","0","0","247,66","0","−224,75","0","0","0","1 013,53"
